"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"March 19, 2018",Indiana,Indianapolis,"4100 block of N Riley Ave",0,1,N/A
"March 19, 2018",Illinois,Taylorville,"500 block of S Walnut St",1,3,N/A
"March 19, 2018",Tennessee,Memphis,"Lamar Ave",0,1,N/A
"March 19, 2018",Ohio,Cincinnati,"Reading Rd and McGregor Ave",0,2,N/A
"March 19, 2018",Mississippi,Jackson,"3500 block of Exchange Dr",0,2,N/A
"March 18, 2018",Georgia,Athens,"155 Hickman Dr",0,2,N/A
"March 18, 2018",Ohio,Norwalk,"Woodlawn Ave",0,1,N/A
"March 18, 2018",Louisiana,Lafayette,"100 block of Wilbourn Boulevard",0,1,N/A
"March 18, 2018",Colorado,Denver,"3700 block of N Fillmore St",0,1,N/A
"March 18, 2018",Ohio,Cleveland,"2500 block of E 35th St",0,2,N/A
"March 18, 2018",Georgia,Macon,"5411 Houston Rd",0,1,N/A
"March 18, 2018","South Carolina",Columbia,"200 block of Berryhill Rd",1,1,N/A
"March 18, 2018",Ohio,Columbus,"2300 block of Vendome Dr",0,1,N/A
"March 17, 2018",Mississippi,"Monroe (county)",N/A,1,0,N/A
"March 17, 2018",Illinois,Oreana,"200 block of S View St",0,2,N/A
"March 17, 2018",Oklahoma,Altus,"500 block of Sleepy Hollow St",0,1,N/A
"March 17, 2018",Missouri,"Saint Louis","5000 block of Beacon Ave",0,1,N/A
"March 17, 2018",Colorado,Denver,"3500 block of W Colfax Ave",1,0,N/A
"March 17, 2018",Louisiana,"New Orleans","2300 block of Second Street",0,1,N/A
"March 16, 2018",California,Fresno,"1000 block of E Sampson Ave",0,1,N/A
"March 16, 2018",Tennessee,Nashville,"40th Ave N and Clifton St",0,1,N/A
"March 16, 2018",Illinois,Chicago,"5000 block of N Albany Ave",0,1,N/A
"March 15, 2018",Virginia,"Newport News","100 block of Jefferson Point Ln",0,2,N/A
"March 15, 2018",Alabama,Huntsville,"1901 Sparkman Dr NW",1,1,N/A
"March 15, 2018",Virginia,Hampton,"76th St and Mytilene Dr",0,1,N/A
"March 15, 2018",Ohio,"Cincinnati (Forest Park)","1000 block of Hamlet Dr",0,2,N/A
"March 15, 2018",Ohio,Canton,"1700 block of 15th St SW",0,3,N/A
"March 14, 2018",Louisiana,"Baton Rouge","Arizona Street",0,1,N/A
"March 14, 2018","New York",Brooklyn,"345 Thatford Ave",4,0,N/A
"March 14, 2018",Pennsylvania,Chester,"700 block of Lamokin St",0,1,N/A
"March 14, 2018",Texas,"San Antonio","100 block of Denver Blvd",1,0,N/A
"March 13, 2018",Ohio,Cincinnati,"200 block of Strader Avenue",0,1,N/A
"March 13, 2018",Missouri,"Saint Louis","4300 block of Cote Brilliante Ave",0,1,N/A
"March 13, 2018",Virginia,"Hampton (Langley AFB)","1798 First St",0,1,N/A
"March 13, 2018",California,Seaside,"2200 Noche Buena St",0,1,N/A
"March 13, 2018",Texas,Irving,"4600 W Pioneer Dr",0,1,N/A
"March 13, 2018",Maryland,Baltimore,"North Ave and Broadway",0,1,N/A
"March 12, 2018",Kentucky,Shelbyville,"511 Hunting Hills Drive",2,0,N/A
"March 12, 2018",Texas,Beaumont,"1300 block of Loop Rd",0,1,N/A
"March 12, 2018",Texas,"El Paso","5200 block of Wren Ave",1,0,N/A
"March 12, 2018",Alabama,Montgomery,"3500 block of Wilmington Road",0,1,N/A
"March 12, 2018",Michigan,Midland,"2019 E Ashman St",1,0,N/A
"March 12, 2018",Maryland,Baltimore,"100 block of Allendale St",0,3,N/A
"March 12, 2018",Illinois,Chicago,"5700 block of W Irving Park Rd",0,1,N/A
"March 12, 2018",Alabama,Birmingham,"3500 block of Wilmington Rd",0,1,N/A
"March 12, 2018",Ohio,Cleveland,"E 37th St and Capers Ave",0,2,N/A
"March 11, 2018",Tennessee,Antioch,"1104 Hickory Hollow Terr",0,2,N/A
"March 11, 2018",Indiana,"South Bend","800 block of E Dayton St",0,6,N/A
"March 11, 2018",Michigan,Detroit,"LaSalle and Glendale",0,1,N/A
"March 11, 2018",Georgia,Atlanta,"7000 block of Absinth Dr",0,1,N/A
"March 11, 2018",Texas,Houston,"3400 block of Liberty Rd",0,2,N/A
"March 10, 2018",Washington,Seattle,"3804 E Superior St",0,1,N/A
"March 10, 2018",Michigan,Mancelona,"Mancelona E Jordan Rd and Green River Rd",1,1,N/A
"March 10, 2018",Louisiana,"Port Sulphur","Giraud Street",0,3,N/A
"March 10, 2018",Alabama,Ozark,"King Street",0,2,N/A
"March 10, 2018","North Carolina",Henderson,"Pinkston Street",1,0,N/A
"March 9, 2018",California,Bakersfield,"1200 block of E 10th St",1,2,N/A
"March 9, 2018",California,"San Diego","800 block of S 29th St",0,1,N/A
"March 9, 2018",Kentucky,Lexington,"2000 Winchester Rd",0,1,N/A
"March 9, 2018",Illinois,Chicago,"4400 block of W Carroll Ave",0,1,N/A
"March 9, 2018",Illinois,Chicago,"7200 block of S Merrill Ave",0,1,N/A
"March 9, 2018",Illinois,Chicago,"5200 block of N Winthrop Ave",0,1,N/A
"March 9, 2018",Tennessee,Portland,"Sumner Dr",0,1,N/A
"March 8, 2018",Michigan,Inkster,"572 Tobin Dr",0,1,N/A
"March 8, 2018",Georgia,"Atlanta (College Park)","6300 Block of Topaz Trail",0,1,N/A
"March 8, 2018","New York",Bronx,"427 E 146th St",0,1,N/A
"March 8, 2018",Illinois,Rockford,"600 block of Fisher Ave",0,1,N/A
"March 8, 2018",Virginia,Fredericksburg,"Tangible Ct",1,0,N/A
"March 8, 2018","New York",Rochester,"8th St",0,2,N/A
"March 8, 2018",Illinois,Chicago,"800 block of N Waller Ave",1,0,N/A
"March 8, 2018",Oklahoma,Tulsa,"2496 N Marion Ave",1,0,N/A
"March 7, 2018",California,"San Jose","3000 block of Cadillac Dr",0,1,N/A
"March 7, 2018",Virginia,Richmond,"1900 block of Raven St",1,1,N/A
"March 7, 2018",Alabama,Birmingham,"950 Springville Rd",1,2,N/A
"March 7, 2018",California,"Moreno Valley","23577 Sunnymead Ranch Pkwy",2,0,N/A
"March 7, 2018",California,"Santa Cruz","2000 block of Soquel Ave",0,2,N/A
"March 6, 2018",California,Fairfield,"Clay Bank Rd and Sprig Ct",0,1,N/A
"March 6, 2018",Arizona,Glendale,"47th Ave and Maryland Ave",0,1,N/A
"March 6, 2018",Missouri,"Kansas City","1600 block of E 80th Street",1,1,N/A
"March 6, 2018",Illinois,Chicago,"1000 N Pulaski Rd",1,0,N/A
"March 6, 2018",Illinois,Harvey,"148th Ave and Turlington St",0,3,N/A
"March 6, 2018",Georgia,Columbus,"2000 Cusseta Rd",0,1,N/A
"March 5, 2018",Missouri,Cadet,"10047 Diamond Rd",1,0,N/A
"March 5, 2018",Florida,Kissimmee,"2507 N Beaumont Ave",2,0,N/A
"March 5, 2018",Ohio,Columbus,"2800 block of Falcon Bridge Dr",0,2,N/A
"March 5, 2018",Pennsylvania,Philadelphia,"2900 block of N 5th St",0,2,N/A
"March 5, 2018",Colorado,Aurora,"15500 block of E 13th Ave",0,1,N/A
"March 5, 2018",Kentucky,Louisville,"Candace Way and Cogan Boulevard",1,1,N/A
"March 4, 2018",Oklahoma,"Oklahoma City","N Kelley Ave and NE 36th St",0,2,N/A
"March 4, 2018","North Carolina",Durham,"2800 block of Courtney Creek Blvd",1,0,N/A
"March 4, 2018",Illinois,Chicago,"4900 W Rice St",0,3,N/A
"March 4, 2018",Tennessee,Nashville,"2000 block of 25th Ave N",0,1,N/A
"March 4, 2018",Georgia,Atlanta,"800 block of Mercury Drive",1,0,N/A
"March 4, 2018",Wisconsin,Milwaukee,"930 N 27th St",0,1,N/A
"March 3, 2018",Florida,Miami,"1300 Block of NW 62nd Ln",0,4,N/A
"March 3, 2018",Iowa,"Des Moines","1600 block of Hull Ave",0,1,N/A
"March 3, 2018",Illinois,"Cherry Valley","4672 Chandon Woods Dr",3,0,N/A
"March 2, 2018",Ohio,Cincinnati,"3300 block of Wabash Ave",1,0,N/A
"March 2, 2018",Texas,Houston,"6002 Wortham Way",0,1,N/A
"March 2, 2018","North Carolina",Charlotte,"Starhaven Drive",0,1,N/A
"March 2, 2018",Illinois,Chicago,"3500 S Ashland Ave",1,0,N/A
"March 2, 2018",Missouri,"Saint Louis","3900 block of Lexington Ave",0,1,N/A
"March 2, 2018",Michigan,Detroit,"2900 block of Lakewood St",0,1,N/A
"March 2, 2018",Illinois,Rockford,N/A,0,1,N/A
"March 1, 2018",Ohio,Cleveland,"Westropp Ave and E 143rd St",1,0,N/A
"March 1, 2018",Alabama,Tuscaloosa,"1750 40th Ave",0,1,N/A
"March 1, 2018",Illinois,Chicago,"3900 W Monroe St",0,1,N/A
"March 1, 2018",Arizona,Phoenix,"43rd Ave and Bethany Home Rd",0,1,N/A
"February 28, 2018",Indiana,Evansville,"Haven Dr",0,1,N/A
"February 28, 2018",Tennessee,Memphis,"National St and Fairoaks Ave",0,2,N/A
"February 28, 2018",Florida,Orlando,"10536 Moss Park Rd",0,1,N/A
"February 28, 2018",Texas,"Corpus Christi","2700 block of Waldron Rd",0,1,N/A
"February 28, 2018",Mississippi,Richland,"400 block of Ebenezer Road",2,1,N/A
"February 28, 2018",Texas,Houston,"9900 Club Creek Dr",0,1,N/A
"February 28, 2018","South Carolina",Greenwood,"1205 SC 72",1,0,N/A
"February 27, 2018",Illinois,Chicago,"2100 block of S Oakley Ave",0,1,N/A
"February 27, 2018",Alabama,Atmore,"300 block of East 4th St",0,1,N/A
"February 26, 2018",Maryland,Burtonsville,"13900 block of Old Columbia Pike",0,1,N/A
"February 26, 2018",Illinois,Chicago,"4400 S Whipple St",0,1,N/A
"February 26, 2018",California,"Santa Cruz","2911 Chanticleer Ave",0,1,N/A
"February 25, 2018",Illinois,Chicago,"4200 W Jackson Blvd",0,1,N/A
"February 25, 2018",Nebraska,Omaha,"25th St and Crown Point Ave",1,1,N/A
"February 25, 2018",Florida,Pensacola,"Moreno Ct",0,1,N/A
"February 25, 2018",Alabama,Birmingham,"7001 Crestwood Blvd",0,1,N/A
"February 25, 2018",California,"West Covina","Van Horn Ave and Elder St",0,1,N/A
"February 25, 2018",California,Fresno,"Cedar Ave and Huntington Ave",1,1,N/A
"February 25, 2018",Texas,Arlington,"600 block of W Inwood Ave",1,1,N/A
"February 25, 2018",Illinois,Chicago,"4700 W North Ave",0,2,N/A
"February 25, 2018",Texas,Converse,"10100 block of Macarthur Way",1,0,N/A
"February 25, 2018","South Carolina",Columbia,"1400 block of  Andrews Rd",1,1,N/A
"February 24, 2018",Virginia,Hampton,"2000 block of Cunningham Dr",0,1,N/A
"February 24, 2018",California,Stockton,"Antoine Ct and Don Ave",1,0,N/A
"February 24, 2018",Texas,Dallas,"5700 block of Highland Hills Dr",1,1,N/A
"February 24, 2018",Delaware,Wilmington,N/A,0,1,N/A
"February 24, 2018",Illinois,Chicago,"8600 S Michigan Ave",1,0,N/A
"February 23, 2018","North Carolina","Fuquay Varina","1051 E Broad St",0,2,N/A
"February 23, 2018",Oklahoma,Bartlesville,"4000 Green Country Rd",0,1,N/A
"February 23, 2018",California,Fresno,"Holloway Ave and Jensen Ave",0,1,N/A
"February 23, 2018",Ohio,"Canal Fulton","Portage Rd and Akron Ave",2,0,N/A
"February 23, 2018",Mississippi,Mccomb,"112 W Alley",1,0,N/A
"February 23, 2018",Pennsylvania,Philadelphia,"4132 N Broad St",0,1,N/A
"February 23, 2018",Louisiana,"New Orleans","S Roman St and Toledano St",0,1,N/A
"February 23, 2018",Louisiana,Monroe,"Curtis Rd and Swartz Fairbanks Rd",1,0,N/A
"February 22, 2018",Florida,Orlando,"1500 block of Echo Lake Ct",1,0,N/A
"February 22, 2018",Florida,Apopka,"13th St and Hawthorne Ave",0,1,N/A
"February 22, 2018",Oklahoma,Tulsa,"S 131st E Ave and E 31st St",0,1,N/A
"February 22, 2018",Missouri,"Saint Louis","1200 block of Hoyt Dr",3,0,N/A
"February 22, 2018",Pennsylvania,Allentown,"200 block of N 15th St",0,1,N/A
"February 22, 2018",Texas,Houston,"8900 Chimney Rock Rd",0,1,N/A
"February 21, 2018",Texas,Killeen,"1700 block of Spring Rose Cir",1,0,N/A
"February 21, 2018",Maryland,Baltimore,"100 block of Mount St",0,1,N/A
"February 21, 2018",Texas,Houston,"8850 Chimney Rock Rd",0,1,N/A
"February 20, 2018",Ohio,Massillon,"7355 Mudbrook St NW",1,0,N/A
"February 20, 2018",Virginia,"Newport News","Maple Ave and 19th St",0,1,N/A
"February 20, 2018",Texas,"El Paso","7100 block of Dale Rd",1,0,N/A
"February 20, 2018","New York",Syracuse,"300 block of Oakwood Ave",0,1,N/A
"February 20, 2018",Pennsylvania,Philadelphia,"5600 block of Sansom St",0,1,N/A
"February 20, 2018",Illinois,Batavia,"1901 McKee St",0,1,N/A
"February 19, 2018",Illinois,Chicago,"700 E 82nd St",0,2,N/A
"February 19, 2018",Illinois,Chicago,"7600 S Champlain Ave",1,1,N/A
"February 19, 2018",Illinois,Chicago,"4000 E 134th St",0,1,N/A
"February 19, 2018",Illinois,Chicago,"4300 block of S Hermitage Ave",0,2,N/A
"February 18, 2018",Virginia,Chesapeake,"2300 block of Herring Ditch Rd",0,1,N/A
"February 18, 2018",Illinois,Chicago,"4000 E 134th St",0,1,N/A
"February 18, 2018",Wisconsin,Madison,"Worthington Ave",0,1,N/A
"February 18, 2018","District of Columbia",Washington,"3100 block of Bruce Pl SE",0,1,N/A
"February 18, 2018",Arizona,"Sierra Vista","77 El Camino Real",1,0,N/A
"February 18, 2018",Oregon,Portland,"SE 36th Ave and Van Water St",0,1,N/A
"February 17, 2018",Indiana,"South Bend","4300 block of Silver Ln",1,0,N/A
"February 17, 2018",Ohio,Cleveland,"3100 block of W 32nd St",0,1,N/A
"February 17, 2018",Tennessee,Jackson,"Raintree Cove",1,0,N/A
"February 17, 2018",Louisiana,"Baton Rouge","6117 Cadillac St",1,0,N/A
"February 17, 2018",Tennessee,Memphis,"3456 Lamar Ave",0,1,N/A
"February 17, 2018",Utah,"Salt Lake City (West Valley City)","3980 S 5600 W",0,1,N/A
"February 17, 2018",Mississippi,Greenwood,"2638 Luther Dr",1,0,N/A
"February 17, 2018","South Carolina",Columbia,"Benedict St",1,0,N/A
"February 16, 2018",Florida,Tampa,"N 24th St and E Curtis Ave",0,2,N/A
"February 16, 2018",Colorado,Denver,"W 30th Ave and Vallejo St",0,1,N/A
"February 16, 2018","District of Columbia",Washington,"4200 block of 7th St SE",1,1,N/A
"February 16, 2018",Virginia,Hampton,"3300 block of Custer Ln",0,1,N/A
"February 16, 2018",Pennsylvania,Philadelphia,"200 block of S 52nd St",0,1,N/A
"February 16, 2018",Tennessee,Humboldt,"N 18th St",0,1,N/A
"February 16, 2018",Ohio,Canton,"5600 block of Frank Ave NW",0,1,N/A
"February 16, 2018","North Carolina",Raleigh,"Sunbow Falls Ln",0,1,N/A
"February 16, 2018",Illinois,Chicago,"1800 S Ridgeway Ave",0,1,N/A
"February 16, 2018",Illinois,Chicago,"1700 W Beach Ave",0,1,N/A
"February 16, 2018",Louisiana,"New Orleans","2100 block of Pauger",1,1,N/A
"February 16, 2018",Louisiana,Shreveport,"2400 block of Jones Mabry Rd",0,1,N/A
"February 15, 2018",Texas,Houston,"3200 block of Anita St",0,1,N/A
"February 15, 2018",California,"Santa Barbara","E Camino Cielo",1,0,N/A
"February 15, 2018",Florida,"Lehigh Acres","100 block of McArthur Ave",0,1,N/A
"February 15, 2018",Florida,Jacksonville,"Lansdowne Dr",0,1,N/A
"February 15, 2018",Louisiana,"Baton Rouge","5765 Prescott Road",1,0,N/A
"February 15, 2018",Texas,Arlington,"4721 S Cooper St",0,1,N/A
"February 14, 2018",Texas,Amarillo,"401 SE 2nd Ave",0,1,N/A
"February 14, 2018",Florida,"Pompano Beach (Parkland)","5901 Pine Island Rd",17,17,N/A
"February 14, 2018",Arkansas,Pearcy,"400 block of Ryan Rd",0,1,N/A
"February 14, 2018",Florida,"Port Richey","6349 Ridgecrest Dr",1,0,N/A
"February 14, 2018",Virginia,Centreville,"13000 block of Jeb Stuart Square",1,0,N/A
"February 13, 2018",Utah,"Salt Lake City (West Valley City)","3510  W Parkway Blvd",1,2,N/A
"February 13, 2018",Utah,"Salt Lake City (South Salt Lake)","3100 S 300 E",1,0,N/A
"February 13, 2018",Illinois,Chicago,"700 S St Louis Ave",0,1,N/A
"February 13, 2018",Florida,Deland,"715 Wright Ct",0,1,N/A
"February 13, 2018",Pennsylvania,Philadelphia,"5200 block of Walnut St",0,1,N/A
"February 13, 2018",Louisiana,"New Orleans","700 block of Union St",0,2,N/A
"February 13, 2018",Texas,Houston,"6400 South Dairy Ashford Rd",0,1,N/A
"February 12, 2018",Arizona,Glendale,"7910 N 43rd Ave",0,1,N/A
"February 12, 2018",Virginia,"Newport News","32nd St and Marshall Ave",1,0,N/A
"February 12, 2018",Pennsylvania,York,"200 block of S Penn St",1,1,N/A
"February 12, 2018",Alabama,Birmingham,"5001 Sugar Ray Dr",0,2,N/A
"February 12, 2018",Illinois,Chicago,"5200 S Morgan St",0,2,N/A
"February 12, 2018",Texas,Dallas,"7611 Umphress Rd",1,1,N/A
"February 11, 2018",Alabama,Pinson,"4400 block of Winchester Hills Way",1,0,N/A
"February 10, 2018","North Carolina",Reidsville,"1100 block of Deerfield Dr",0,1,N/A
"February 10, 2018",Florida,"Oak Hill","287 Wood Ave",1,0,N/A
"February 10, 2018","New Jersey",Newark,"Kent St",1,0,N/A
"February 10, 2018",Florida,Jacksonville,"800 Block of Superior St",0,1,N/A
"February 9, 2018",California,"San Diego","800 block of S 29th St",0,1,N/A
"February 9, 2018",Tennessee,Nashville,"717 25th Ave N",0,1,N/A
"February 9, 2018",Tennessee,Nashville,"904 26th Ave N",0,1,N/A
"February 9, 2018",Tennessee,Memphis,"3874 Macon Rd",2,0,N/A
"February 9, 2018",Mississippi,"Moss Point","3525 Rollins St",1,0,N/A
"February 9, 2018","North Carolina",Durham,"Eva Street and Railroad Street",1,0,N/A
"February 9, 2018",Delaware,Wilmington,"200 block of W 23rd St",0,1,N/A
"February 9, 2018",Louisiana,Shreveport,"700 block W. 69th Street",0,1,N/A
"February 8, 2018",California,"Santa Rosa","3600 block of Melcon Ln",1,2,N/A
"February 8, 2018",California,Fresno,"2624 S Elm Ave",0,1,N/A
"February 8, 2018",Florida,Jacksonville,"2000 block of Lewis St",0,2,N/A
"February 8, 2018",Illinois,Chicago,"600 N Laramie Ave",1,0,N/A
"February 8, 2018",Florida,"Myakka City","14930 Albritton Rd",1,0,N/A
"February 8, 2018",Texas,Lubbock,"5010 I-27",1,0,N/A
"February 8, 2018",Alaska,Fairbanks,N/A,1,0,N/A
"February 8, 2018","New York","Corona (Queens)","Beach 47th St and Beach Channel Dr",1,0,N/A
"February 7, 2018",California,Fremont,"45000 block of Little Foot Pl",0,2,N/A
"February 7, 2018",Alabama,Birmingham,"4900 block of Brittan Street",0,1,N/A
"February 7, 2018","North Carolina",Maiden,"Fairview Dr",1,0,N/A
"February 7, 2018",Tennessee,Nashville,"1500 Porter Rd",1,0,N/A
"February 7, 2018",Connecticut,Bridgeport,"Denver Ave",0,3,N/A
"February 7, 2018",Washington,Seattle,"14th Ave S and S Trenton St",0,1,N/A
"February 7, 2018",Texas,"San Marcos","Hutchinson St and Moon St",0,1,N/A
"February 6, 2018","North Carolina",Sanford,"200 block of Kathleen Terrace",0,1,N/A
"February 6, 2018",Indiana,"Fort Wayne","1900 Pontiac St",0,3,N/A
"February 6, 2018",Alabama,Montgomery,"5800 block of Eagle Circle",0,3,N/A
"February 6, 2018",Ohio,Cleveland,"E 104th St and Sandusky Ave",1,0,N/A
"February 6, 2018",Kentucky,Lexington,"2107 Garden Springs Dr",1,1,N/A
"February 5, 2018","North Carolina","Deep Run","Bryce Hardison Rd",1,0,N/A
"February 5, 2018",Maryland,"Oxon Hill","6701 Leyte Dr",0,1,N/A
"February 5, 2018",Oregon,Portland,"16000 block of NW Rondos Dr",0,1,N/A
"February 5, 2018",Ohio,Miamisburg,"125 Byers Rd",0,1,N/A
"February 5, 2018",Illinois,Chicago,"4600 S Ellis Ave",0,1,N/A